index,url,Nominal voltage (V),No load speed (rpm),No load current (mA),Nominal speed (rpm),Nominal torque (max. continuous torque) (mNm),Nominal current (max. continuous current) (A),Stall torque (mNm),Stall current (A),Max. efficiency (%),Terminal resistance (Ω),Terminal inductance (mH),Torque constant (mNm/A),Speed constant (rpm/V),Speed / torque gradient (rpm/mNm),Mechanical time constant (ms),Rotor inertia (gcm²),Thermal resistance housing-ambient (K/W),Thermal resistance winding-housing (K/W),Thermal time constant winding (s),Thermal time constant motor (s),Ambient temperature (°C),Max. winding temperature (°C),Max. speed (rpm),Axial play (mm) (N),Unnamed: 26 (N),Radial play (mm),Max. axial load (dynamic) (N),Max. force for press fits (static) (N),"(static, shaft supported) (N)",Max. radial load,Number of pole pairs,Number of phases,Number of autoclave cycles,Weight (g),Bearing type,Number of commutator segments,Protection
39,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecmax/ecmax22/283840,24,12100,77.3,8250,10.8,0.657,35.1,1.94,65,12.4,0.488,18.1,526,360,8.47,2.25,13.5,1.72,1.84,567,-40...+100,+155,18000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",,3.5,53,1400,"16 N, 5 mm from flange",1,3.0,0.0,83,ball bearings,,
40,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecmax/ecmax22/283858,24,12900,121,10400,22.7,1.4,121,6.97,76,3.44,0.182,17.4,549,109,5.06,4.45,10.2,1.02,1.98,628,-40...+100,+155,18000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",,3.5,53,1000,"16 N, 5 mm from flange",1,3.0,0.0,124,ball bearings,,
41,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecmax/ecmax22/283860,48,12900,60.4,10500,23.2,0.716,127,3.66,77,13.1,0.729,34.8,274,103,4.82,4.45,10.2,1.02,2.08,628,-40...+100,+155,18000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",,3.5,60,1000,"16 N, 5 mm from flange",1,3.0,0.0,110,ball bearings,,
42,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec4pole/305013,24,16700,723,16100,95.6,7.61,3240,236,90,0.102,0.0163,13.7,697,5.17,1.8,33.3,7.4,0.209,2.11,1180,-20...+100,+155,25000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",,5.5,73,1300,"25 N, 5 mm from flange",2,3.0,0.0,300,ball bearings,,
43,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec4pole/305015,48,16500,356,16000,92.9,3.68,3430,124,90,0.386,0.0653,27.6,346,4.83,1.69,33.3,7.4,0.209,1.98,1180,-20...+100,+155,25000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",,5.5,73,1300,"25 N, 5 mm from flange",2,3.0,0.0,300,ball bearings,,
44,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec4pole/309756,24,17500,379,16300,68.8,5.56,1270,96.9,88,0.248,0.0295,13.1,731,13.9,2.65,18.3,8.96,0.74,3.84,968,-20...+100,+155,25000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",,5.5,73,2000,"25 N, 5 mm from flange",2,3.0,0.0,210,ball bearings,,
45,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec4pole/309758,48,17500,189,16400,73.4,2.95,1500,57.4,89,0.836,0.118,26.1,365,11.7,2.24,18.3,8.96,0.74,4,968,-20...+100,+155,25000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",,5.5,73,2000,"25 N, 5 mm from flange",2,3.0,0.0,210,ball bearings,,
46,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec4pole/311536,24,16900,223,15800,54.6,4.21,954,70.4,89,0.341,0.0308,13.5,705,17.7,1.65,8.91,10.7,0.7,4.66,936,-20...+100,+155,25000,"0 mm, at radial load < 3","0.14 mm, at radial load > 3",,4,53,600,"16 N, 5 mm from flange",2,3.0,0.0,175,ball bearings,,
47,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec4pole/311538,48,16900,112,15800,54.5,2.1,1020,37.7,90,1.27,0.123,27.1,352,16.6,1.54,8.91,10.7,0.7,4.66,936,-20...+100,+155,25000,"0 mm, at radial load < 3","0.14 mm, at radial load > 3",,4,53,600,"16 N, 5 mm from flange",2,3.0,0.0,175,ball bearings,,
48,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ec4pole/323218,24,16300,164,15000,45.1,3.34,639,45.5,89,0.527,0.0503,14,680,25.5,1.48,5.54,12.2,1.19,5.46,482,-20...+100,+155,25000,"0 mm, at radial load < 3","0.14 mm, at radial load > 3",,4,53,1000,"16 N, 5 mm from flange",2,3.0,0.0,125,ball bearings,,
