Index,url,Absolute reduction,Max. efficiency (%),Width (mm),Weight (g),Outer diameter (mm)
122,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-LN/GPX12LNKLSL35D0CPLW,4554/130,80.0,20.4,14,12.0
123,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-LN/GPX12LNKLSL62D0CPLW,421875/6859,75.0,25.2,17,12.0
124,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-LZ/GPX12LZKLSL0150CPLW,328509/2197,75.0,25.2,17,12.0
125,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-LZ/GPX12LZKLSL0231CPLW,300564/1300,75.0,25.2,17,12.0
126,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-LZ/GPX12LZKLSL0243CPLW,31640625/130321,65.0,30.1,19,12.0
127,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-LZ/GPX12LZKLSL0734CPLW,23566950/32110,65.0,30.1,19,12.0
128,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-LZ/GPX12LZKLSL1526CPLW,19837224/13000,65.0,30.1,19,12.0
129,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-LZ/GPX12LZKLSL16D0CPLW,5625/361,80.0,20.4,14,12.0
130,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-LZ/GPX12LZKLSL26D0CPLW,4950/190,80.0,20.4,14,12.0
131,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-LZ/GPX12LZKLSL35D0CPLW,4554/130,80.0,20.4,14,12.0
132,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-LZ/GPX12LZKLSL62D0CPLW,421875/6859,75.0,25.2,17,12.0
133,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX13/GPX13-3-Stufig-M1/GPX13M1KLSL0125CPSC,125/1,70.0,42.4,30,13.0
134,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX13/GPX13-1-Stufig-M1/GPX13M1KLSL05D0CPSC,5/1,85.0,30.8,21,13.0
135,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX13/GPX13-2-Stufig-M1/GPX13M1KLSL25D0CPSC,25/1,80.0,36.6,26,13.0
136,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-3-Stufig-A/GPX14AAKLSL0150CPLW,328509/2197,75.0,25.5,21,14.0
137,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-3-Stufig-A/GPX14AAKLSL0231CPLW,300564/1300,75.0,25.5,21,14.0
138,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-4-Stufig-A/GPX14AAKLSL0243CPLW,31640625/130321,65.0,30.3,23,14.0
139,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-1-Stufig-A/GPX14AAKLSL03D9CPLW,75/19,90.0,15.7,14,14.0
140,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-1-Stufig-A/GPX14AAKLSL06D6CPLW,66/10,90.0,15.7,14,14.0
141,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-4-Stufig-A/GPX14AAKLSL0734CPLW,23566950/32110,65.0,30.3,23,14.0
142,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-4-Stufig-A/GPX14AAKLSL1526CPLW,19837224/13000,65.0,30.3,23,14.0
143,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-2-Stufig-A/GPX14AAKLSL16D0CPLW,5625/361,80.0,20.8,19,14.0
144,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-2-Stufig-A/GPX14AAKLSL26D0CPLW,4950/190,80.0,20.8,19,14.0
145,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-2-Stufig-A/GPX14AAKLSL35D0CPLW,4554/130,80.0,20.8,19,14.0
146,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-3-Stufig-A/GPX14AAKLSL62D0CPLW,421875/6859,75.0,25.5,21,14.0
147,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-3-Stufig-C/GPX14CAKLSL0150CPLW,328509/2197,75.0,25.5,21,14.0
148,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-3-Stufig-C/GPX14CAKLSL0231CPLW,300564/1300,75.0,25.5,21,14.0
149,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-4-Stufig-C/GPX14CAKLSL0243CPLW,31640625/130321,65.0,30.3,23,14.0
150,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-1-Stufig-C/GPX14CAKLSL03D9CPLW,75/19,90.0,15.7,14,14.0
151,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-1-Stufig-C/GPX14CAKLSL06D6CPLW,66/10,90.0,15.7,14,14.0
152,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-4-Stufig-C/GPX14CAKLSL0734CPLW,23566950/32110,65.0,30.3,23,14.0
153,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-4-Stufig-C/GPX14CAKLSL1526CPLW,19837224/13000,65.0,30.3,23,14.0
154,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-2-Stufig-C/GPX14CAKLSL16D0CPLW,5625/361,80.0,20.8,19,14.0
155,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-2-Stufig-C/GPX14CAKLSL26D0CPLW,4950/190,80.0,20.8,19,14.0
156,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-2-Stufig-C/GPX14CAKLSL35D0CPLW,4554/130,80.0,20.8,19,14.0
157,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-3-Stufig-C/GPX14CAKLSL62D0CPLW,421875/6859,75.0,25.5,21,14.0
158,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-3-Stufig-HP/GPX14HPKLSL0150CPLW,328509/2197,65.0,29.0,25,14.0
159,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-3-Stufig-HP/GPX14HPKLSL0231CPLW,300564/1300,65.0,29.0,25,14.0
160,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-4-Stufig-HP/GPX14HPKLSL0243CPLW,31640625/130321,55.0,33.7,27,14.0
161,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-4-Stufig-HP/GPX14HPKLSL0734CPLW,23566950/32110,55.0,33.7,27,14.0
162,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-4-Stufig-HP/GPX14HPKLSL1526CPLW,19837224/13000,55.0,33.7,27,14.0
163,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-2-Stufig-HP/GPX14HPKLSL16D0CPLW,5625/361,75.0,23.9,21,14.0
164,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-2-Stufig-HP/GPX14HPKLSL26D0CPLW,4950/190,75.0,23.9,21,14.0
165,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-2-Stufig-HP/GPX14HPKLSL35D0CPLW,4554/130,75.0,23.9,21,14.0
166,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-3-Stufig-HP/GPX14HPKLSL62D0CPLW,421875/6859,65.0,29.0,25,14.0
167,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-3-Stufig-LN/GPX14LNKLSL0150CPLW,328509/2197,75.0,25.5,21,14.0
168,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-3-Stufig-LN/GPX14LNKLSL0231CPLW,300564/1300,75.0,25.5,21,14.0
169,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-4-Stufig-LN/GPX14LNKLSL0243CPLW,31640625/130321,65.0,30.3,23,14.0
170,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-1-Stufig-LN/GPX14LNKLSL03D9CPLW,75/19,90.0,15.7,14,14.0
171,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-1-Stufig-LN/GPX14LNKLSL06D6CPLW,66/10,90.0,15.7,14,14.0
172,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-4-Stufig-LN/GPX14LNKLSL0734CPLW,23566950/32110,65.0,30.3,23,14.0
173,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-4-Stufig-LN/GPX14LNKLSL1526CPLW,19837224/13000,65.0,30.3,23,14.0
174,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-2-Stufig-LN/GPX14LNKLSL16D0CPLW,5625/361,80.0,20.8,19,14.0
175,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-2-Stufig-LN/GPX14LNKLSL26D0CPLW,4950/190,80.0,20.8,19,14.0
176,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-2-Stufig-LN/GPX14LNKLSL35D0CPLW,4554/130,80.0,20.8,19,14.0
177,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-3-Stufig-LN/GPX14LNKLSL62D0CPLW,421875/6859,75.0,25.5,21,14.0
178,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX14/GPX14-3-Stufig-LZ/GPX14LZKLSL0150CPLW,328509/2197,75.0,25.5,21,14.0
